region,property_segment,approvals_change_pct,commencements_signal,completions_signal,cycle_stage,market_softness_score,market_softness_band,as_of_date,source_note
Australia,Offices,-35.72,Proxy from approvals trend,Proxy from approvals trend,downturn,4.3,High,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Education buildings,-21.37,Proxy from approvals trend,Proxy from approvals trend,slowing,3.25,Elevated,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Retail and wholesale trade buildings,68.47,Proxy from approvals trend,Proxy from approvals trend,neutral,3.15,Elevated,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Short term accommodation buildings,113.7,Proxy from approvals trend,Proxy from approvals trend,growth,2.85,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Aged care facilities,219.88,Proxy from approvals trend,Proxy from approvals trend,neutral,2.7,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Agricultural and aquacultural buildings,58.37,Proxy from approvals trend,Proxy from approvals trend,neutral,2.65,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Total Non-residential,71.46,Proxy from approvals trend,Proxy from approvals trend,neutral,2.6,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Industrial Buildings - Total,55.53,Proxy from approvals trend,Proxy from approvals trend,neutral,2.4,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Commercial Buildings - Total,165.42,Proxy from approvals trend,Proxy from approvals trend,growth,2.3,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Warehouses,69.32,Proxy from approvals trend,Proxy from approvals trend,neutral,2.2,Medium,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
Australia,Health buildings,355.03,Proxy from approvals trend,Proxy from approvals trend,growth,1.65,Low,2026-02-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend
