region,state,region_group,property_segment,building_approvals_trend,building_activity_trend,housing_finance_trend,region_risk_score,region_risk_band,as_of_date,source_note
Australia,Australia,Commercial,Offices,Sharp contraction,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),4.03,High,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Social infrastructure,Education buildings,Softening,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),3.38,Elevated,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Commercial,Retail and wholesale trade buildings,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.95,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Social infrastructure,Aged care facilities,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.73,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Agriculture,Agricultural and aquacultural buildings,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.58,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Accommodation,Short term accommodation buildings,Strong expansion,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.55,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,National aggregate,Total Non-residential,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.55,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Industrial,Industrial Buildings - Total,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.45,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Industrial,Warehouses,Improving,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.35,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Commercial,Commercial Buildings - Total,Strong expansion,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),2.15,Medium,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
Australia,Australia,Social infrastructure,Health buildings,Strong expansion,Proxy from approvals trend,Proxy from cash-rate backdrop (mixed),1.82,Low,2026-03-16,ABS Building Approvals - Non-residential; building activity not staged; approvals trend used as proxy; housing finance not staged; cash-rate backdrop used as proxy
