anzsic_division_code,industry,internal_grouping_example,cyclical_score,rate_sensitivity_score,demand_dependency_score,external_shock_score,sales_growth_pct_foundation,ebitda_margin_pct_foundation,wages_to_sales_pct_foundation,employment_000_foundation,sector_key,classification_risk_score,foundation_source
H,Accommodation And Food Services,Hospitality and leisure,2,4,3,2,8.602120000851986,11.379727388618312,25.539829372732324,1217.9,accommodation and food services,2.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
A,"Agriculture, Forestry And Fishing",Primary production and agribusiness,5,2,4,4,-11.05070849300419,14.583542063253516,9.745182513442206,411.0,agriculture forestry and fishing,3.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
E,Construction,"Building, civil and trade services",2,4,3,2,10.53712060879568,10.152580092540706,15.038185049392402,1290.7,construction,2.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
Q,Health Care and Social Assistance,Health and care services,2,2,1,2,7.542332601984714,16.650818523131594,43.28730675309485,1796.9,health care and social assistance,1.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
C,Manufacturing,Industrial and manufacturing,4,3,4,4,1.3373721209350098,9.154432427912152,14.29874426049059,901.7,manufacturing,3.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
M,"Professional, Scientific And Technical Services",Professional and technical services,2,2,2,2,8.681090000123138,12.992998039904375,35.329307395112224,1317.4,professional scientific and technical services,2.0,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
G,Retail Trade,Consumer retail and discretionary,3,4,3,3,4.819178970381488,7.800646854858638,10.283002886135204,1509.6,retail trade,3.25,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
I,"Transport, Postal And Warehousing","Freight, logistics and storage",3,2,2,2,3.463130331953712,17.718589272593682,19.693036166217652,670.6,transport postal and warehousing,2.25,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
F,Wholesale Trade,Wholesale and distribution,3,4,2,4,2.538040736118119,6.120776168493568,6.767194773747014,604.2,wholesale trade,3.25,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
